Number_round;Date & Time;Player1;Player2;Score
4 Round;02.06.2019 8:00;Leonardo Mayer;Rodjer Federer;0:3, 2-6, 3-6, 3-6
4 Round;02.06.2019 9:00;Stefanos Tsitsipas;Stan Wawrinka;2:3, 6-7, 7-5, 4-6, 6-3, 6-8
4 Round;02.06.2019 10:00;Huan Ignasio Londero;Rafael Nadal;0:3, 2-6, 3-6, 3-6
4 Round;02.06.2019 11:00;Key Nisikori;Benault Paire;3:2, 6-2, 6-7, 6-2, 6-7, 7-5
4 Round;02.06.2019 12:00;Novak Djokovic;Jan-Lennard Struff;3:0, 6-3, 6-2, 6-2
4 Round;02.06.2019 13:00;Dominick Thiem;Gael Monfis;3:0, 6-4, 6-4, 6-2
4 Round;02.06.2019 14:00;Fabio Fognini;Alexander Zverev;1:3, 6-3, 2-6, 2-6, 6-7
4 Round;02.06.2019 5:00;Karen Khachanov;Juan-Martin DelPotro;3:1, 6-4, 6-7, 6-2, 6-3
1/4 Finals;04.06.2019 6:00;Stan Wawrinka;Rodjer Federer;1:3, 6-7, 6-4, 6-7, 4-6
1/4 Finals;04.06.2019 7:00;Key Nisikori;Rafael Nadal;0:3, 1-6, 1-6, 3-6
1/4 Finals;06.06.2019 8:00;Novak Djokovic;Alexander Zverev;3:0, 7-5, 6-2, 6-2
1/4 Finals;06.06.2019 9:00;Dominick Thiem;Karen Khachanov;3:0, 6-2, 6-4, 6-2
1/2 Finals;07.06.2019 9:00;Rodjer Federer;Rafael Nadal;0:3, 3-6, 4-6, 2-6
1/2 Finals;08.06.2019 9:00;Novak Djokovic;Dominick Thiem;2:3, 2-6, 6-3, 5-7, 7-5, 5-7
Finals;09.06.2019 9:00;Dominick Thiem;Rafael Nadal;1:3, 3-6, 7-5, 1-6, 1-6
